step_type,signal,n,computed,degenerate,not_applicable
reason,E,6,1.0,0.0,0.0
reason,V,6,1.0,0.0,0.0
reason,S,6,1.0,0.0,0.0
reason,L,6,1.0,0.0,0.0
reason,C,6,1.0,0.0,0.0
act,E,4,0.0,0.0,1.0
act,V,4,0.0,0.0,1.0
act,S,4,1.0,0.0,0.0
act,L,4,1.0,0.0,0.0
act,C,4,0.0,0.0,1.0
observe,E,4,0.25,0.0,0.75
observe,V,4,0.25,0.0,0.75
observe,S,4,0.0,0.0,1.0
observe,L,4,1.0,0.0,0.0
observe,C,4,0.25,0.0,0.75
synthesize,E,3,1.0,0.0,0.0
synthesize,V,3,1.0,0.0,0.0
synthesize,S,3,1.0,0.0,0.0
synthesize,L,3,1.0,0.0,0.0
synthesize,C,3,1.0,0.0,0.0
